case_id,layout,split,candidate,ablation,status,tp,fp,fn,precision,recall,f1,admissible_secondary,wall_median_ms,wall_p95_ms,deterministic
EVAL-L1-S2101,L1,evaluation,v0_clean,A,passed,0,0,0,0.0,0.0,0.0,0,2024.95805,2364.609445,True
EVAL-L1-S2101,L1,evaluation,v0_clean,B,passed,0,0,0,0.0,0.0,0.0,0,2024.95805,2364.609445,True
EVAL-L1-S2101,L1,evaluation,v0_clean,C,passed,0,0,0,0.0,0.0,0.0,0,2024.95805,2364.609445,True
EVAL-L1-S2101,L1,evaluation,v0_clean,D,passed,0,0,0,0.0,0.0,0.0,0,2024.95805,2364.609445,True
EVAL-L1-S2101,L1,evaluation,v1_authorized,A,passed,0,0,0,0.0,0.0,0.0,0,2019.8569,2472.248905,True
EVAL-L1-S2101,L1,evaluation,v1_authorized,B,passed,0,0,0,0.0,0.0,0.0,0,2019.8569,2472.248905,True
EVAL-L1-S2101,L1,evaluation,v1_authorized,C,passed,0,0,0,0.0,0.0,0.0,0,2019.8569,2472.248905,True
EVAL-L1-S2101,L1,evaluation,v1_authorized,D,passed,0,0,0,0.0,0.0,0.0,0,2019.8569,2472.248905,True
EVAL-L1-S2101,L1,evaluation,v1_faulty,A,failed_verification,5,0,6,1.0,0.454545455,0.625,0,1966.98655,2133.059865,True
EVAL-L1-S2101,L1,evaluation,v1_faulty,B,failed_verification,7,0,4,1.0,0.636363636,0.777777778,0,1966.98655,2133.059865,True
EVAL-L1-S2101,L1,evaluation,v1_faulty,C,failed_verification,9,0,2,1.0,0.818181818,0.9,0,1966.98655,2133.059865,True
EVAL-L1-S2101,L1,evaluation,v1_faulty,D,failed_verification,11,0,0,1.0,1.0,1.0,0,1966.98655,2133.059865,True
EVAL-L1-S2101,L1,evaluation,v2_corrected,A,passed,0,0,0,0.0,0.0,0.0,0,1898.61485,2014.926935,True
EVAL-L1-S2101,L1,evaluation,v2_corrected,B,passed,0,0,0,0.0,0.0,0.0,0,1898.61485,2014.926935,True
EVAL-L1-S2101,L1,evaluation,v2_corrected,C,passed,0,0,0,0.0,0.0,0.0,0,1898.61485,2014.926935,True
EVAL-L1-S2101,L1,evaluation,v2_corrected,D,passed,0,0,0,0.0,0.0,0.0,0,1898.61485,2014.926935,True
EVAL-L1-S2102,L1,evaluation,v0_clean,A,passed,0,0,0,0.0,0.0,0.0,0,2015.5,2182.853495,True
EVAL-L1-S2102,L1,evaluation,v0_clean,B,passed,0,0,0,0.0,0.0,0.0,0,2015.5,2182.853495,True
EVAL-L1-S2102,L1,evaluation,v0_clean,C,passed,0,0,0,0.0,0.0,0.0,0,2015.5,2182.853495,True
EVAL-L1-S2102,L1,evaluation,v0_clean,D,passed,0,0,0,0.0,0.0,0.0,0,2015.5,2182.853495,True
EVAL-L1-S2102,L1,evaluation,v1_authorized,A,passed,0,0,0,0.0,0.0,0.0,0,2185.546,2320.88437,True
EVAL-L1-S2102,L1,evaluation,v1_authorized,B,passed,0,0,0,0.0,0.0,0.0,0,2185.546,2320.88437,True
